1326013439492444161	137191046	[CLS] mas del la ##go lake michigan en lake michigan , chicago lake ##front 	1
1325950333571489794	21164472	[CLS] the nearest wal ##mart is 0 . 0 miles away on 0 ##th western . . . but i ’ ve been traveling out the way to the crest ##wood location which is 0 miles away . . . id ##k . . . i just can ’ t deal with the ghetto shit anymore 	2
1325945866130235392	932714927223201792	[CLS] ‘ tis the season for savings both new and existing customers get our best deals on the latest smartphone ##s . visit your local at t store to see for yourself 	1
1325945671447420929	2399056206	[CLS] did you know that saying if you travel without a gps , you ’ re basically sac ##aja ##we ##a is cultural app ##ropriation and a joke at the expense of native americans 	0
1325935590207000577	163558578	[CLS] being an ins ##ta tho ##t is wild . you travel to nice places , don ’ t work , and give zero fuck ##s . i want that in my next life 	1
1325931327452016642	1082583160251133952	[CLS] honestly it ’ s such a shitty thing to do . to travel during a pan ##de ##mic and take no precautions at a party , then go back to work and barely chin ##stra ##p your mask for days and expose everyone and not get tested until you start feeling sick . they did literally everything wrong . 	2
1325927821135536128	126793427	[CLS] she is very une ##du ##cated , if you don ’ t know where somewhere is ask where it is , but instead she just make it up , now i ’ m not much for traveling nowadays but i know that ’ s not right . . . [unk] 	1
1325927350027104259	948121644	[CLS] having to wear a mask at all times is currently the worst part ab ##t traveling . 	1
1325924167619923968	1921314902	[CLS] need reliable tools to support remote instruction check out ve ##riz ##on 0 ##g home internet , the first 0 ##g wireless network built to connect your home with ultra fast internet that s ready for what comes next . now available here in visit 	1
1325923562037932035	1159049675825143810	[CLS] thank you for the opportunity for me to share my joy and passion of being an early childhood educator even during this pan ##de ##mic [unk] 	0
1325922140227448832	1042635493	[CLS] yeah , i feel ya dude . it ’ s been hard traveling for obvious reasons ha ##ha . but glad you ’ re getting away 	0
1325921238758395904	1042635493	[CLS] dude i ’ ve been in a creative ru ##t for the past year lo ##l . traveling helps me and i forced myself to go out and shoot this week and it helped a lot 	2
1325916444815749124	68590787	[CLS] should i go ahead and cancel , or are you going to fire this person and make a statement 	1
1325913228799569920	243760843	[CLS] come visit and yours truly one last amazing patio night four moon tavern 	1
1325909873087959046	1255190732677287936	[CLS] the people have spoken [unk] personal fun fact tyler and i collect ornaments from every place we travel to together so at christmas we get little reminder ##s from all our trips together 	0
1325909671388082184	119221453	[CLS] this will be perfect for my bedroom and my travel tree . 	0
1325900487586099201	1143789940951715842	[CLS] well deserved di ##i scholarship offer here for dl michael mcintyre as a visit to bismarck and pays off in an offer he also holds a naia offer from powerhouse grand view . cong ##rat ##s from mike pumped for you . 	0
1325896846070468615	1246953850801664005	[CLS] be sure to check in on the ki ##os ##k every time you visit to earn points and incentives from jd ’ s cafe and j j ventures . 	1
1325893937467371520	41904487	[CLS] are you watching 	0
1325889902194683904	821554861758119937	[CLS] not happy w this , should i cancel my membership or are you going to do something 	2
1325875234214457346	557000541	[CLS] visit the mary meyer school spirit wear store for all sorts of great mer ##ch from your favorite preschool the link is in our bio . there ’ s something for everyone mary meyer school 	0
1325866723673829376	807014311	[CLS] those google reviews these were very reward ##ing cases to work on and we all were quite pleased with the results . in accordance with cdc guidelines , we offer free phone and video consultation ##s with an attorney , and digital sign ##up packets . visit us online at 	0
