26028453	2021-04-05T23:25:58.000Z	1379213753594564609	Really SoCal? Your traffic sucks.     @ Azusa, California 	{'coordinates': {'type': 'Point', 'coordinates': [-117.90694444, 34.13055556]}, 'place_id': '59105f0e84773bdd'}
481382326	2021-04-05T23:13:46.000Z	1379210685725347840	Exciting to see a new pilot program to visit the National Mall!    	{'place_id': '59612bd882018c51'}
885197238	2021-04-05T23:01:50.000Z	1379207681433427973	 It's not about price, it's about value and, for me personally, I prefer portability.I travel quite a bit, and I love the idea of lugging it along just in case.So for me it's MacBook Pro or gaming laptop, but since Apple decided to solder everything inside, I'm team MSI/Acer.	{'place_id': '3b77caf94bfc81fe'}
20106657	2021-04-05T22:47:58.000Z	1379204190816247811	I wish time travel existed so we could see year 0 Dr. Drew and Adam Corola go off on their 0 selves.	{'place_id': '3b77caf94bfc81fe'}
14298114	2021-04-05T22:34:08.000Z	1379200709954965505	Please please please, someone tell me this is Dr. Drew’s half-assed attempt at satire. Signed,Someone who had to get vaccinations in order to visit South Africa. 	{'place_id': 'b0b79caecef59fb5'}
1301217586420441088	2021-04-05T21:51:11.000Z	1379189903682981890	God is this depressing for my travel plans 	{'place_id': '0038b1943e3140e9'}
1668664178	2021-04-05T21:39:06.000Z	1379186863102177287	Interested in working with us, click the link in our bio to apply! Or visit us We hope to see you soon!   @ Homeless Outreach Program Integrated Care System 	{'coordinates': {'type': 'Point', 'coordinates': [-118.27857278, 33.990147]}, 'place_id': '3b77caf94bfc81fe'}
996695382	2021-04-05T21:33:14.000Z	1379185384983199745	I know I’m festival and hot-springs ready cuz I just bought myself a Burton Beer cooler bag/backpack and a new pair of swim trunks.  Party will travel.🍻🚀💫 	{'place_id': '5e97c1a7f94d856f'}
17595258	2021-04-05T21:27:16.000Z	1379183883858497537	International travel has required other vaccinations for decades, dumbass 	{'place_id': '3b77caf94bfc81fe'}
34391224	2021-04-05T21:13:20.000Z	1379180378271801345	 Harris touts infrastructure plan — and Newsom — on first official California visit as VP 	{'place_id': '59612bd882018c51'}
622304802	2021-04-05T21:07:57.000Z	1379179022190403589	Long Beach Black Health Equity Virtual Town Hall MeetingWHEN: Thursday, April 0, 0TIME: 0:0-0:0PMWHERE: Via ZOOM*rsvp required* To RSVP visit:     	{'place_id': '01c060cf466c6ce3'}
858717550753890304	2021-04-05T21:07:16.000Z	1379178850907648001	 and  time travel trailers released on the same day… COINCIDENCE?!?!?! 	{'place_id': '0b93bc6a33455615'}
219126810	2021-04-05T21:05:07.000Z	1379178310496743424	Is this Dr Drew a real doctor?I have been vaccinated ALL my life for travel. We had to carry health cards in the 0s, 0s & 0s for many places. We haven’t had to much in recent times but w/the growth of anti-vaxxers & rebirth of certain infectious diseases the time may be ripe! 	{'place_id': 'c84cc6061e2af8da'}
