2021-03-15T23:54:54.000Z	1371610891272196102	This sign should hang in every hall of business & government.👶                    	{'place_id': '07d9f327a0c81000'}
2021-03-15T22:58:09.000Z	1371596607913873409	“I hope this hasn't put you off of flying. Statistically speaking, it's still the safest way to travel.” 	{'place_id': '01a9a39529b27f36'}
2021-03-15T22:54:19.000Z	1371595643307839496	Check out ’s various COVID-0 testing site options across Brooklyn through Sunday, March 0st. You can visit  to check wait times.  	{'place_id': '011add077f4d2da3'}
2021-03-15T22:12:50.000Z	1371585207330033664	One step closer to be able to visit family 🥳🥳🥳 	{'place_id': '011add077f4d2da3'}
2021-03-15T21:57:58.000Z	1371581463355924487	 Me too. I need to visit it.	{'place_id': '647be94a01a83f96'}
2021-03-15T21:39:42.000Z	1371576867287928839	   It wasn’t wrong though. Only two, maybe three, countries got to zero. And they were remote countries with closed borders much smaller than the US or EU. And the US couldn’t legally do what other countries did (I.e. restrict travel)	{'place_id': '00c39537733fa112'}
2021-03-15T21:33:47.000Z	1371575378490310661	Who wants to travel and breed me tonight? 😍 	{'place_id': '01a9a39529b27f36'}
2021-03-15T20:50:36.000Z	1371564508884447235	When a potential petition signer asks you to salsa for them...you just do it! We have tons of opportunities for folks to safely volunteer, visit:      	{'place_id': '011add077f4d2da3'}
2021-03-15T20:36:52.000Z	1371561055822942209	Tone House Strength was designed to compliment our Conditioning program by building muscular endurance and power.Introduce your friends to the Turf and after purchasing their first session, you receive one on the HOUSE. Visit  to generate your link.  	{'place_id': '0fc337bf1454c000'}
2021-03-15T19:22:42.000Z	1371542389039448067	Council Member Bob Holden said his Queens district was in the yellow zone and had businesses written up by the city, but then didn’t get equitable vaccine sites. He said his district has many seniors and shouldn’t have to travel to get vaccinated.	{'place_id': '01a9a39529b27f36'}
2021-03-15T18:57:09.000Z	1371535959553097731	Keeper of the Brand is excited to bring you HFAS 0.HARLEM FINE ARTS SHOW LAUNCHES ITS 0 VIRTUAL ART SHOW TODAY AT NOON FEATURING 0 RENOWNED BLACK ARTISTS AND GALLERIES FROM AROUND THE WORLD. For more infor visit the Harlem Fine Arts Show 0 at  	{'place_id': '16ff60eaacd70320'}
2021-03-15T18:45:07.000Z	1371532930661691395	Reuse and Save $ When Using Our Travel Mug! 	{'place_id': '876ed0bcf9594134'}
2021-03-15T18:14:10.000Z	1371525142761852928	NYCs covid restriction make no sense scientifically.Nothing is stopping bars from being open until 0am.Covid has a bed time? U can now travel to any city big or small in the US, including ones with no restrictions at all, & not have to quarantine when you come back.....	{'place_id': '00c39537733fa112'}
2021-03-15T17:52:54.000Z	1371519792960651264	Registration for the 0 Youth Football & Cheer season is open!  Visit  to sign up. Come join us as we add to the rich football tradition in the area and develop future generations of Bulldog football players and cheerleaders!	{'place_id': 'cb532703cd8de015'}
2021-03-15T17:20:25.000Z	1371511616274116609	When  hits 0.  I’m going to visit this guy 	{'place_id': '3d3c56338b6a3b4a'}
2021-03-15T17:16:42.000Z	1371510682705932288	North bound to see the family this past Friday...  When given a chance to visit my family... I take it!Get ready for story telling! 🤪🥰 @ Kearny, New Jersey 	{'place_id': 'd5140ca0d08eadc7', 'coordinates': {'type': 'Point', 'coordinates': [-74.1372, 40.7631]}}
2021-03-15T16:22:29.000Z	1371497037112487947	📍The Vessel, New York, NY- -     - 	{'place_id': '109e4b592496c001'}
2021-03-15T15:41:01.000Z	1371486601352732674	Sports x Tourism has been a big interest of mine for a while and after interviewing C.C. Sabathia for Travel + Leisure...things are just falling into place 🌟	{'place_id': '011add077f4d2da3'}
2021-03-15T15:37:46.000Z	1371485782024806410	Great visit from our very own DM and a great job to Lydia for all her hard work on crown bolt.      	{'place_id': 'dfa88de1ece1a505'}
