2021-08-02T23:38:56.000Z	1422341172714950663	If I could visit my 0 year old self, I swear I would be amazed. I could talk about all the things that are not, there are just too many things that are. @ Somewhere in Brooklyn 	{'coordinates': {'type': 'Point', 'coordinates': [-73.92786585, 40.7017567]}, 'place_id': '011add077f4d2da3'}
2021-08-02T23:37:21.000Z	1422340777921990663	Had so much fun with these boys who happened to be out there during my surprise visit 🔥🏝 	{'place_id': '00c39537733fa112'}
2021-08-02T23:32:20.000Z	1422339513976868865	It is always   when I visit my  😜😊👍☀️💐     @ Sheepshead Bay 	{'coordinates': {'type': 'Point', 'coordinates': [-73.949153, 40.596242]}, 'place_id': '011add077f4d2da3'}
2021-08-02T23:02:18.000Z	1422331957225168899	    Which one? Moderna, which is the same? Astrazeneca with a low % of efficiency no countries want or the problematic J&J?Knowing if you wanna travel you better have the mRNA vaccine, which are approved.	{'place_id': '01a9a39529b27f36'}
2021-08-02T22:56:11.000Z	1422330414237159425	Send any travel  information I may need please !!!	{'place_id': '27485069891a7938'}
2021-08-02T22:56:00.000Z	1422330372008853506	Proud Dad Moment: My son tried for travel baseball (his choice) and put a ton of solid effort in to prepare. His try out was the best I've seen him both hit off a tee + throw - so regardless of results - I'm proud.	{'place_id': '5d09360434c9b510'}
2021-08-02T22:47:56.000Z	1422328338677391363	gonna visit my apt tonight	{'place_id': '011add077f4d2da3'}
2021-08-02T22:21:59.000Z	1422321808578068480	Such a beautiful day to be on the water.....           @ New York Harbor 	{'coordinates': {'type': 'Point', 'coordinates': [-74.04555556, 40.66833333]}, 'place_id': '94965b2c45386f87'}
2021-08-02T21:44:19.000Z	1422312331602763783	I’m a glass half full kind of a guy but I do have to ask a question - Is it deja vu all over again? 	{'place_id': '01a9a39529b27f36'}
2021-08-02T21:35:43.000Z	1422310166893109255	 You not getting 0x points on travel purchases or 0x on dining let alone welcome bonuses worth 0 or 0k on any debit card with any bank. Leveraging credit cards is the move	{'place_id': '011add077f4d2da3'}
2021-08-02T21:16:10.000Z	1422305247091994624	in Tribeca. & NYU in the west village I’m going to live in Tribeca when it’s all said and done and raise a family. Thank you so much to these boutiques for supporting me, please visit them and don’t forget to pick up these limited edition 0 QR code copies, some are autographed	{'place_id': '01a9a39529b27f36'}
2021-08-02T20:57:23.000Z	1422300518899142669	Visit ’s site for updates and more information as it comes: 	{'place_id': '4191c128bb4261b5'}
2021-08-02T20:57:23.000Z	1422300518022529024	 deserve the money that is owed to them in full.Visit the DOL website for more information & see what documents are currently required: 	{'place_id': '4191c128bb4261b5'}
2021-08-02T20:49:35.000Z	1422298555834847234	Ive changed how I travel and  the activities I engaged in. I do not ride animals or visit petting zoos anymore . The  jailed environment does not  align  with my spirit.	{'place_id': '01a9a39529b27f36'}
2021-08-02T20:18:55.000Z	1422290837807980546	I am kinda not telling people that I live in Florida when I travel, because I don’t want a discussion about COVID or Desantis. And it always happens.	{'place_id': '01a9a39529b27f36'}
2021-08-02T20:12:04.000Z	1422289114322411520	These women didn’t seem to know they cut your hair very, very short, you can’t visit your family regularly anymore or that you don’t talk much at all. So I feel bad for them, but you can read and research orders before you join. This just sounds like a strict traditional order.	{'place_id': 'c4dab45ef7581417'}
2021-08-02T20:07:03.000Z	1422287853086724104	Life is beautiful depending on what lense you use 👀•                   	{'place_id': '011add077f4d2da3'}
